"Year","Month","ChlFluor_Month_Mn"
"2007","02",3.2
"2007","07",4.61345609065156
"2007","08",2.7887869520897
"2007","09",2.55484429065744
"2007","10",2.07599067599068
"2007","11",0.804479840716774
"2007","12",0.479385810095305
"2008","01",0.837539906103286
"2008","02",1.05425034387895
"2008","03",0.81888581588305
"2008","04",1.09897344342781
"2008","05",4.91549758877685
"2008","06",3.93087540864511
"2008","07",3.06720892400651
"2008","08",2.57199003067485
"2008","09",1.57486959189936
"2008","10",1.79932872655479
"2008","11",1.28259060169932
"2008","12",1.37993393889348
"2011","01",0.890540540540541
"2011","02",1.36489598811293
"2011","03",3.11823371390195
"2011","04",8.17437345570067
"2011","05",14.2761126248865
"2011","06",5.80169322709163
"2011","07",12.8316114542392
"2011","08",5.6588161209068
"2011","09",2.3169881001231
"2011","10",1.19837587006961
"2011","11",1.21635016211209
"2012","01",0.747372488408037
"2012","02",0.948985239852399
"2012","03",1.29154929577465
"2012","04",1.24747292418773
"2012","05",17.0077235772358
"2012","06",17.295802627363
"2012","07",10.8548942172073
"2012","08",5.82879327078615
"2012","09",5.01840726510653
"2012","10",7.06405497055149
"2012","11",3.01896955503513
"2012","12",0.608488316642823
"2013","01",0.910719424460432
"2013","02",0.745697896749522
"2013","03",0.915171407731583
"2013","04",2.43097967691506
"2013","05",5.37107027563943
"2013","06",7.1928997020854
"2013","07",3.80937056318031
"2013","08",3.44347061778001
"2013","09",4.60085106382979
"2013","10",6.59225054870843
"2013","11",1.49416072460975
"2013","12",0.527142391658521
"2014","01",0.369565217391304
"2014","02",0.518664521319389
"2014","03",0.71745531019979
"2014","04",2.61328141443907
"2014","05",8.25104918583179
"2014","06",7.53293381969776
"2014","07",7.88799168255068
"2014","08",3.9742526032919
"2014","09",2.5528125
"2014","10",3.96114015854276
"2014","11",1.08109132247063
"2014","12",1.21143882024711
"2015","01",0.945522964106523
"2015","02",1.4327392120075
"2015","03",1.86798378926038
"2015","04",2.54415653093601
"2015","05",4.28340731346438
"2015","06",6.33389009924958
"2015","07",5.46155213270142
"2015","08",5.5942702192879
"2015","09",2.71831881327996
"2015","10",1.87392909896603
"2015","11",1.2322120285423
"2015","12",0.860646074039142
"2016","01",0.80937106918239
"2016","02",1.32577126830788
"2016","03",2.20013958125623
"2016","04",4.06515124712542
"2016","05",3.67315594476255
"2016","06",7.68798223053542
"2016","07",6.50962324766355
"2016","08",3.59239723535831
"2016","09",2.57719319128675
"2016","10",2.97200194206182
"2016","11",0.697083141938447
"2016","12",0.314667356084109
"2017","01",0.687967507192418
"2017","02",1.46897776116614
"2017","03",2.33646781260533
"2017","04",3.92496902959394
"2017","05",3.82078708375378
"2017","06",6.36615279205207
"2017","07",2.75395683453237
